FID_1,NAME,GSS_CODE,BOROUGH,...5,Count_,Avg_price,Avg_number_of_,Avg_reviews_pe,Avg_availabili,Avg_number_of1,GSS_CODE...12,IMD Score,Income Score (rate),Employment Score (rate),Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Count,count,average_price,
620,Whalebone,E05000042,Barking and Dagenham,NA,30,51.701754,47,1.382281,153.964912,11.842105,E05000486,27.894429,0.165143,0.086,-0.039714,0.317,49.691714,29.863,57,30,600,
480,Knightsbridge and Belgravia,E05000637,Westminster,NA,324,92.351351,8.432432,0.68,99.594595,3.405405,E05000468,23.644333,0.159167,0.105,-0.125167,0.358,26.4785,33.503,37,321,608.81,
495,Little Venice,E05000639,Westminster,NA,481,89.762712,21.838983,0.769322,172.533898,4.432203,E05000342,26.57925,0.158625,0.101,0.058125,0.825125,30.30425,24.05475,118,482,606.21,
181,Tokyngton,E05000102,Brent,NA,275,145.440415,12.523316,0.911347,103.57513,5.683938,E05000642,32.3615,0.2495,0.164333,0.063833,0.402667,23.6235,36.120167,193,275,603.27,
287,Cray Meadows,E05000072,Bexley,NA,8,117.882353,10.735294,0.519412,193.647059,3.911765,E05000114,26.5364,0.1711,0.1124,-0.163,0.7366,30.3,19.2366,34,8,549.25,
199,Totteridge,E05000059,Barnet,NA,63,137.205882,9.191176,0.758676,122.544118,4.794118,E05000063,15.8656,0.1188,0.0745,-1.0152,0.2308,27.7276,25.8064,68,62,536.89,
477,Campden,E05000384,Kensington and Chelsea,NA,251,92.555556,10.277778,0.5,180.722222,4.166667,E05000335,10.625714,0.080143,0.062143,-0.641143,-0.365857,26.608857,10.548143,18,252,528.13,
466,Royal Hospital,E05000397,Kensington and Chelsea,NA,164,94.208696,9.878261,0.603739,176.869565,5.104348,E05000221,27.7385,0.1881,0.1198,0.1951,0.2943,36.1499,21.5028,115,166,503.68,
69,Brentford,E05000347,Hounslow,NA,228,201.483333,20.066667,0.689625,110.316667,5.429167,E05000252,18.177375,0.11575,0.074125,-0.315,0.05875,29.418125,36.348,240,228,473.03,
245,Cathedrals,E05000536,Southwark,NA,685,124.810811,20.891892,0.796216,100.189189,5.648649,E05000415,6.465,0.051857,0.042429,-1.358571,-0.428286,18.215429,20.425857,37,682,468.75,
467,Brompton,E05000383,Kensington and Chelsea,NA,546,94.119048,34.714286,0.662857,119.833333,8.309524,E05000456,9.241833,0.068167,0.045667,-0.803167,-0.419833,19.6095,25.043333,42,549,459.57,
484,West End,E05000649,Westminster,NA,1422,91.126126,16.837838,0.92045,134.783784,7.306306,E05000484,31.826111,0.177333,0.102778,0.190222,0.821444,48.313111,35.589333,111,1422,435.65,
158,Hatch End,E05000291,Harrow,NA,6,150.994898,13.107143,0.736888,160.841837,5.076531,E05000053,20.557182,0.131273,0.094909,-0.637909,0.158818,33.838364,26.976273,196,6,383.5,
478,St. James's,E05000644,Westminster,NA,1048,92.46875,13.46875,0.628125,119.28125,6,E05000497,15.547571,0.098,0.073286,-0.747857,0.302143,25.072571,21.293714,32,1049,373.95,
115,Emerson Park,E05000309,Havering,NA,8,168.796748,14.764228,0.53374,94.707317,3.650407,E05000134,23.229429,0.171429,0.124429,-0.408857,0.338429,19.430286,25.018143,123,8,372.88,
476,Hans Town,E05000390,Kensington and Chelsea,NA,518,92.769231,12.692308,0.433846,185.769231,2.923077,E05000070,22.610286,0.142714,0.112571,-0.270429,-0.143429,29.356429,17.918714,13,517,372.47,
497,Church Street,E05000634,Westminster,NA,367,89.680851,13.382979,0.64,140.510638,4.234043,E05000442,34.7181,0.2204,0.1438,0.2708,0.5271,39.7403,33.7634,47,366,357.93,
489,Marylebone High Street,E05000641,Westminster,NA,626,90.6,25.111111,0.566444,154.266667,6.911111,E05000227,17.596444,0.118222,0.083667,-0.245667,0.255444,25.042444,24.654,45,625,356.8,
538,Highbury West,E05000373,Islington,NA,269,84.402597,13.597403,0.714416,170.350649,5.220779,E05000169,27.587636,0.172545,0.118091,0.046273,0.441091,35.705545,28.822545,77,270,355.61,
583,Tottenham Hale,E05000281,Haringey,NA,169,75.353293,17.502994,0.601138,87.802395,5.443114,E05000278,28.971111,0.173333,0.111333,-0.112333,0.648222,36.353889,30.957444,167,169,350.79,
475,Queen's Gate,E05000395,Kensington and Chelsea,NA,413,92.843478,9.973913,0.751826,167.73913,5.356522,E05000164,27.2425,0.1631,0.1128,0.0028,0.6189,35.5978,33.6816,115,412,345.07,
474,Courtfield,E05000386,Kensington and Chelsea,NA,502,93.030612,16.295918,0.604898,124.602041,4.561224,E05000422,30.803667,0.196778,0.128444,0.434889,0.686222,29.935556,37.261333,98,504,323.03,
403,Barnes,E05000516,Richmond upon Thames,NA,63,102.338912,10.481172,0.670335,107.025105,3.669456,E05000443,31.2479,0.2246,0.1229,0.2042,0.3569,38.6799,31.8006,239,63,313.43,
